WARNING:12867925000.0 ns:Stack.Node_2_Member:Node_2 will measure in I basis
WARNING:13230675000.0 ns:Stack.Node_3_Member:Copy: 12, Received qubit action: measure
WARNING:13230675000.0 ns:Stack.Node_3_Member:Node_3 will measure in Z basis
WARNING:13233175000.0 ns:Stack.Node_4_Member:Copy: 12, Received qubit action: measure
WARNING:13233175000.0 ns:Stack.Node_4_Member:Node_4 will measure in I basis
WARNING:13406725000.0 ns:Stack.Node_1_Verifier:Copy: 13, qubit action: measure
WARNING:13406725000.0 ns:Stack.Node_1_Verifier:Measurement: ['X', 'Y', 'Y', 'X']
WARNING:13406725000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in X basis
WARNING:13963375000.0 ns:Stack.Node_2_Member:Copy: 13, Received qubit action: measure
WARNING:13963375000.0 ns:Stack.Node_2_Member:Node_2 will measure in Y basis
WARNING:14091675000.0 ns:Stack.Node_3_Member:Copy: 13, Received qubit action: measure
WARNING:14091675000.0 ns:Stack.Node_3_Member:Node_3 will measure in Y basis
WARNING:14094190000.0 ns:Stack.Node_4_Member:Copy: 13, Received qubit action: measure
WARNING:14094190000.0 ns:Stack.Node_4_Member:Node_4 will measure in X basis
WARNING:14149155000.0 ns:Stack.Node_1_Verifier:Copy: 14, qubit action: measure
WARNING:14149155000.0 ns:Stack.Node_1_Verifier:Measurement: ['X', 'X', 'X', 'X']
WARNING:14149155000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in X basis
WARNING:14596455000.0 ns:Stack.Node_2_Member:Copy: 14, Received qubit action: measure
WARNING:14596455000.0 ns:Stack.Node_2_Member:Node_2 will measure in X basis
WARNING:14909705000.0 ns:Stack.Node_3_Member:Copy: 14, Received qubit action: measure
WARNING:14909705000.0 ns:Stack.Node_3_Member:Node_3 will measure in X basis
WARNING:14912220000.0 ns:Stack.Node_4_Member:Copy: 14, Received qubit action: measure
WARNING:14912220000.0 ns:Stack.Node_4_Member:Node_4 will measure in X basis
WARNING:15900935000.0 ns:Stack.Node_1_Verifier:Copy: 15, qubit action: measure
WARNING:15900935000.0 ns:Stack.Node_1_Verifier:Measurement: ['X', 'Y', 'X', 'Y']
WARNING:15900935000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in X basis
WARNING:16017935000.0 ns:Stack.Node_2_Member:Copy: 15, Received qubit action: measure
WARNING:16017935000.0 ns:Stack.Node_2_Member:Node_2 will measure in Y basis
WARNING:16220485000.0 ns:Stack.Node_3_Member:Copy: 15, Received qubit action: measure
WARNING:16220485000.0 ns:Stack.Node_3_Member:Node_3 will measure in X basis
WARNING:16223000000.0 ns:Stack.Node_4_Member:Copy: 15, Received qubit action: measure
WARNING:16223000000.0 ns:Stack.Node_4_Member:Node_4 will measure in Y basis
WARNING:16620865000.0 ns:Stack.Node_1_Verifier:Copy: 16, qubit action: measure
WARNING:16620865000.0 ns:Stack.Node_1_Verifier:Measurement: ['I', 'I', 'I', 'I']
WARNING:16620865000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in I basis
WARNING:16700515000.0 ns:Stack.Node_2_Member:Copy: 16, Received qubit action: measure
WARNING:16700515000.0 ns:Stack.Node_2_Member:Node_2 will measure in I basis
WARNING:17305380000.0 ns:Stack.Node_3_Member:Copy: 16, Received qubit action: measure
WARNING:17305380000.0 ns:Stack.Node_3_Member:Node_3 will measure in I basis
WARNING:17305880000.0 ns:Stack.Node_4_Member:Copy: 16, Received qubit action: measure
WARNING:17305880000.0 ns:Stack.Node_4_Member:Node_4 will measure in I basis
WARNING:17982080000.0 ns:Stack.Node_1_Verifier:Copy: 17, qubit action: measure
WARNING:17982080000.0 ns:Stack.Node_1_Verifier:Measurement: ['I', 'Z', 'Z', 'I']
WARNING:17982080000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in I basis
WARNING:18062630000.0 ns:Stack.Node_2_Member:Copy: 17, Received qubit action: measure
WARNING:18062630000.0 ns:Stack.Node_2_Member:Node_2 will measure in Z basis
WARNING:18663880000.0 ns:Stack.Node_3_Member:Copy: 17, Received qubit action: measure
WARNING:18663880000.0 ns:Stack.Node_3_Member:Node_3 will measure in Z basis
WARNING:18666380000.0 ns:Stack.Node_4_Member:Copy: 17, Received qubit action: measure
WARNING:18666380000.0 ns:Stack.Node_4_Member:Node_4 will measure in I basis
WARNING:18751730000.0 ns:Stack.Node_1_Verifier:Copy: 18, qubit action: measure
WARNING:18751730000.0 ns:Stack.Node_1_Verifier:Measurement: ['Z', 'Z', 'I', 'I']
WARNING:18751730000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in Z basis
WARNING:19092380000.0 ns:Stack.Node_2_Member:Copy: 18, Received qubit action: measure
WARNING:19092380000.0 ns:Stack.Node_2_Member:Node_2 will measure in Z basis
WARNING:19145530000.0 ns:Stack.Node_3_Member:Copy: 18, Received qubit action: measure
WARNING:19145530000.0 ns:Stack.Node_3_Member:Node_3 will measure in I basis
WARNING:19146030000.0 ns:Stack.Node_4_Member:Copy: 18, Received qubit action: measure
WARNING:19146030000.0 ns:Stack.Node_4_Member:Node_4 will measure in I basis
WARNING:19266480000.0 ns:Stack.Node_1_Verifier:Copy: 19, qubit action: measure
WARNING:19266480000.0 ns:Stack.Node_1_Verifier:Measurement: ['Z', 'Z', 'Z', 'Z']
WARNING:19266480000.0 ns:Stack.Node_1_Verifier:Node_1 will measure in Z basis
WARNING:19401030000.0 ns:Stack.Node_2_Member:Copy: 19, Received qubit action: measure
WARNING:19401030000.0 ns:Stack.Node_2_Member:Node_2 will measure in Z basis
